start_station_id,start_station_name,rides,station_name,lat,lon
JC115,Grove St PATH,29448,Grove St PATH,40.71941,-74.04309
HB102,Hoboken Terminal - River St & Hudson Pl,16789,,,
HB101,Hoboken Terminal - Hudson St & Hudson Pl,16186,Hoboken Terminal - Hudson St & Hudson Pl,40.73593758446329,-74.03030455112457
JC009,Hamilton Park,14789,Hamilton Park,40.727595966,-74.044247311
JC066,Newport PATH,13960,Newport PATH,40.7272235,-74.0337589
JC109,Bergen Ave & Sip Ave,13418,Bergen Ave & Sip Ave,40.73100888698729,-74.06443700194359
JC116,Exchange Pl,13389,Exchange Pl,40.71636596185077,-74.034343957901
HB105,City Hall - Washington St & 1 St,13332,City Hall - Washington St & 1 St,40.73736,-74.03097
JC008,Newport Pkwy,13124,Newport Pkwy,40.7287448,-74.0321082
HB502,11 St & Washington St,12552,11 St & Washington St,40.74998490907138,-74.02715027332306
HB202,14 St Ferry - 14 St & Shipyard Ln,12318,14 St Ferry - 14 St & Shipyard Ln,40.752960630464955,-74.02435272932053
HB609,River St & 1 St,12095,River St & 1 St,40.73721535335381,-74.02886540972803
JC105,Hoboken Ave at Monmouth St,12017,Hoboken Ave at Monmouth St,40.73520838045357,-74.04696375131607
JC013,Marin Light Rail,11699,Marin Light Rail,40.71458403535893,-74.04281705617905
HB501,Columbus Park - Clinton St & 9 St,11486,Columbus Park - Clinton St & 9 St,40.74816121065146,-74.0324530005455
HB603,8 St & Washington St,11369,8 St & Washington St,40.745983882915624,-74.02819901704788
HB103,South Waterfront Walkway - Sinatra Dr & 1 St,11345,South Waterfront Walkway - Sinatra Dr & 1 St,40.73698221818716,-74.02778059244156
JC014,Columbus Drive,10821,Columbus Drive,40.71835519823214,-74.03891444206238
JC052,Liberty Light Rail,10789,Liberty Light Rail,40.7112423,-74.0557013
HB402,Madison St & 1 St,9973,Madison St & 1 St,40.73879,-74.0393
HB201,12 St & Sinatra Dr N,9708,12 St & Sinatra Dr N,40.750604142368964,-74.02402013540268
HB305,9 St HBLR - Jackson St & 8 St,9688,9 St HBLR - Jackson St & 8 St,40.74790720968899,-74.03841152787209
HB611,4 St & River St,9536,4 St & River St,40.7408139,-74.0274062
JC098,Washington St,9421,Washington St,40.7242941,-74.0354826
HB601,Church Sq Park - 5 St & Park Ave,9389,Church Sq Park - 5 St & Park Ave,40.74265933273143,-74.03223305940628
JC006,Warren St,9338,Warren St,40.7211236,-74.03805095
HB106,River St & Newark St,9245,River St & Newark St,40.736722273163316,-74.02900660353771
HB303,Clinton St & 7 St,9158,Clinton St & 7 St,40.74542,-74.03332
JC082,Manila & 1st,9069,Manila & 1st,40.721650724879986,-74.04288411140442
JC032,Newark Ave,8977,Newark Ave,40.72152515,-74.046304543
HB408,Marshall St & 2 St,8569,Marshall St & 2 St,40.740802,-74.042521
JC003,City Hall,8389,City Hall,40.7177325,-74.043845
HB304,7 St & Monroe St,8335,7 St & Monroe St,40.74641264837719,-74.03797701001167
JC104,Harborside,8223,Harborside,40.7192517,-74.034234
HB602,Stevens - River Ter & 6 St,8191,Stevens - River Ter & 6 St,40.74313282710551,-74.02698867022991
JC023,Brunswick St,8177,Brunswick St,40.7241765,-74.0506564
HB506,Grand St & 14 St,7748,Grand St & 14 St,40.75409,-74.0316
HB301,4 St & Grand St,7594,4 St & Grand St,40.7422579775645,-74.03511106967926
HB203,Bloomfield St & 15 St,7583,Bloomfield St & 15 St,40.75453,-74.02658
HB401,Southwest Park - Jackson St & Observer Hwy,7544,Southwest Park - Jackson St & Observer Hwy,40.73755127245804,-74.04166370630264
HB505,Willow Ave & 12 St,7503,Willow Ave & 12 St,40.7518674823282,-74.03037697076797
JC035,Van Vorst Park,7460,Van Vorst Park,40.71848892,-74.047726625
JC072,Morris Canal,7454,Morris Canal,40.7124188237569,-74.03852552175522
HB409,Clinton St & Newark St,7382,Clinton St & Newark St,40.73743,-74.03571
JC110,JC Medical Center,7176,JC Medical Center,40.71539114317,-74.04969155788422
JC102,Grand St,7112,Grand St,40.71517767732029,-74.03768330812454
JC055,McGinley Square,7030,McGinley Square,40.7253399253558,-74.06762212514877
HB407,Adams St & 2 St,6908,Adams St & 2 St,40.73981372311843,-74.03690412640572
JC103,Journal Square,6507,Journal Square,40.73367,-74.0625
HB608,2 St & Park Ave,6465,2 St & Park Ave,40.73915272763701,-74.0330819785595
